"1.1",4,16,43,58,70
"1.2",6,18,45,54,66
"1.3",8,25,36,56,68
"1.4",11,29,41,51,63
"2.1",1,16,33,46,66
"2.2",2,20,43,56,63
"2.3",6,27,35,55,61
"2.4",13,21,37,53,67
"3.1",3,17,44,54,66
"3.2",6,16,45,48,68
"3.3",10,18,36,47,71
"3.4",11,19,43,55,73
"4.1",5,18,39,60,61
"4.2",7,30,45,50,69
"4.3",11,16,36,57,64
"4.4",12,29,42,51,70
"5.1",1,26,40,51,65
"5.2",2,21,36,55,62
"5.3",12,20,42,52,70
"5.4",15,17,41,48,71
"6.1",2,20,35,58,70
"6.2",3,30,40,50,62
"6.3",4,26,44,53,65
"6.4",7,17,37,56,67
"7.1",2,17,43,53,71
"7.2",8,16,32,52,75
"7.3",10,29,39,50,74
"7.4",15,22,40,55,62
"8.1",1,26,35,50,69
"8.2",3,29,37,54,66
"8.3",10,17,45,47,64
"8.4",12,25,41,51,63
"9.1",7,18,32,48,67
"9.2",8,24,36,49,61
"9.3",9,21,43,55,73
"9.4",11,29,39,57,64
"10.1",6,21,40,46,67
"10.2",8,25,39,54,66
"10.3",10,17,42,52,63
"10.4",15,19,32,59,73
"11.1",3,21,33,47,66
"11.2",5,19,42,58,62
"11.3",8,17,36,50,63
"11.4",12,23,40,54,61
"12.1",7,17,31,57,75
"12.2",9,30,40,60,72
"12.3",12,19,37,58,66
"12.4",14,26,41,54,71
"13.1",1,20,33,54,63
"13.2",5,17,39,48,68
"13.3",8,29,40,47,74
"13.4",13,18,38,59,71
"14.1",5,19,32,57,64
"14.2",7,26,45,48,70
"14.3",11,17,36,54,61
"14.4",12,24,33,51,71
"15.1",3,20,37,48,75
"15.2",5,28,44,55,66
"15.3",11,21,31,52,71
"15.4",14,26,34,60,73
"16.1",5,30,43,51,70
"16.2",9,24,44,56,63
"16.3",11,21,38,58,65
"16.4",12,29,35,50,62
"17.1",2,20,38,51,66
"17.2",3,16,40,58,75
"17.3",4,19,34,53,63
"17.4",14,30,42,55,67
"18.1",2,25,41,59,62
"18.2",8,21,39,54,71
"18.3",13,29,31,56,74
"18.4",14,16,37,50,70
"19.1",1,29,45,57,63
"19.2",11,24,39,50,66
"19.3",12,27,37,47,70
"19.4",15,16,40,55,62
"20.1",3,18,45,58,63
"20.2",6,23,37,46,69
"20.3",8,20,32,57,68
"20.4",10,25,33,60,73
"21.1",2,21,32,46,66
"21.2",6,16,33,52,68
"21.3",10,26,45,53,63
"21.4",13,30,44,58,70
"22.1",4,22,43,47,71
"22.2",7,16,40,50,73
"22.3",13,24,31,51,65
"22.4",15,18,37,49,75
"23.1",2,27,31,50,64
"23.2",4,20,34,57,74
"23.3",5,18,45,58,61
"23.4",13,17,37,49,67
"24.1",3,23,45,52,66
"24.2",6,28,36,55,68
"24.3",7,29,43,58,67
"24.4",8,30,42,57,73
"25.1",1,24,34,59,61
"25.2",4,23,43,46,66
"25.3",14,19,37,49,72
"25.4",15,17,44,56,70
"26.1",3,18,33,48,63
"26.2",6,21,36,51,64
"26.3",12,27,39,54,66
"26.4",15,30,45,60,67
"27.1",4,19,39,50,70
"27.2",8,24,45,47,64
"27.3",10,28,32,55,61
"27.4",13,26,36,49,72
"28.1",3,24,45,60,65
"28.2",10,30,41,51,75
"28.3",12,16,39,48,74
"28.4",15,21,35,54,67
"29.1",2,17,37,50,65
"29.2",4,27,31,49,61
"29.3",6,23,40,53,74
"29.4",15,18,45,47,73
"30.1",2,25,38,46,74
"30.2",4,16,36,51,61
"30.3",5,18,44,55,70
"30.4",13,26,41,52,72
"31.1",4,29,43,51,73
"31.2",6,22,38,57,61
"31.3",9,18,40,50,67
"31.4",15,19,34,55,64
"32.1",4,16,40,58,63
"32.2",5,28,36,48,73
"32.3",8,29,33,60,70
"32.4",13,26,44,54,66
"33.1",6,27,41,55,61
"33.2",8,30,35,46,69
"33.3",11,17,44,60,70
"33.4",15,24,31,53,64
"34.1",1,16,31,46,65
"34.2",2,20,35,50,61
"34.3",4,19,34,48,62
"34.4",5,17,33,47,64
"35.1",3,25,41,58,75
"35.2",7,17,45,47,67
"35.3",13,29,31,49,70
"35.4",14,19,32,46,66
"36.1",2,25,38,53,66
"36.2",3,29,35,52,69
"36.3",6,17,31,49,71
"36.4",14,16,44,57,75
"37.1",1,26,44,60,62
"37.2",5,17,41,49,71
"37.3",8,28,35,47,69
"37.4",15,16,45,46,73
"38.1",1,18,31,46,65
"38.2",4,19,41,51,61
"38.3",7,22,44,47,71
"38.4",13,25,45,48,75
"39.1",4,25,38,47,64
"39.2",7,17,34,52,61
"39.3",13,19,31,57,67
"39.4",14,27,44,59,70
"40.1",2,16,31,46,69
"40.2",3,19,37,51,61
"40.3",6,17,44,48,75
"40.4",8,22,33,55,66
"41.1",2,28,37,54,73
"41.2",3,24,43,50,65
"41.3",8,16,41,46,68
"41.4",12,27,35,56,72
"42.1",5,24,34,59,72
"42.2",7,22,44,53,70
"42.3",10,18,43,47,61
"42.4",12,16,39,56,64
"43.1",5,22,42,47,75
"43.2",7,18,38,55,67
"43.3",10,19,36,52,73
"43.4",12,24,35,49,65
"44.1",2,17,33,53,73
"44.2",5,29,43,48,65
"44.3",12,19,45,60,75
"44.4",13,20,39,50,69
"45.1",2,17,32,47,62
"45.2",5,20,34,58,73
"45.3",11,26,38,52,67
"45.4",12,30,41,49,74
"46.1",1,21,37,51,75
"46.2",3,19,45,48,72
"46.3",7,17,38,47,69
"46.4",10,30,44,55,70
"47.1",6,21,43,49,61
"47.2",9,25,31,52,72
"47.3",10,23,34,50,64
"47.4",14,19,37,59,74
"48.1",3,27,31,46,74
"48.2",8,30,45,49,64
"48.3",9,19,35,57,61
"48.4",12,20,38,58,69
"49.1",3,26,44,59,69
"49.2",4,24,31,48,63
"49.3",9,30,32,54,71
"49.4",14,18,42,60,62
"50.1",2,28,41,52,75
"50.2",5,24,37,46,74
"50.3",9,29,35,48,71
"50.4",13,23,44,51,62
"51.1",1,23,35,53,65
"51.2",3,29,32,59,73
"51.3",9,20,40,47,62
"51.4",10,16,31,55,74
"52.1",2,29,42,60,62
"52.2",4,30,44,54,69
"52.3",8,22,36,49,72
"52.4",10,20,35,46,75
"53.1",3,28,39,47,68
"53.2",7,20,44,53,74
"53.3",10,22,35,54,61
"53.4",14,26,43,56,71
"54.1",1,28,38,52,71
"54.2",3,19,33,56,63
"54.3",5,22,39,59,66
"54.4",10,29,42,55,72
"55.1",5,21,33,51,71
"55.2",8,18,32,46,70
"55.3",9,28,39,58,73
"55.4",11,30,37,60,66
"56.1",1,21,33,49,64
"56.2",9,30,32,57,75
"56.3",10,28,34,60,67
"56.4",15,22,39,52,61
"57.1",12,30,36,46,75
"57.2",13,28,39,58,65
"57.3",14,24,37,54,68
"57.4",15,26,32,53,64
"58.1",1,22,36,53,62
"58.2",7,29,33,60,74
"58.3",9,25,40,46,72
"58.4",14,27,32,49,65
"59.1",4,24,39,46,66
"59.2",6,23,38,48,63
"59.3",12,25,31,54,61
"59.4",14,27,42,51,71
"60.1",2,28,43,49,73
"60.2",4,30,42,58,71
"60.3",11,22,35,53,65
"60.4",15,24,36,57,61
"61.1",6,26,32,49,69
"61.2",8,20,42,55,75
"61.3",11,22,38,47,72
"61.4",15,18,34,58,64
"62.1",4,27,37,48,66
"62.2",6,26,34,58,63
"62.3",7,25,31,49,67
"62.4",8,22,32,51,75
"63.1",4,22,39,57,62
"63.2",6,18,41,51,71
"63.3",9,25,31,56,68
"63.4",11,23,40,55,72
"64.1",4,20,33,51,73
"64.2",7,22,40,57,75
"64.3",9,23,41,52,65
"64.4",11,26,34,60,70
"65.1",5,22,38,48,71
"65.2",11,25,43,52,65
"65.3",14,21,33,56,72
"65.4",15,23,35,50,63
"66.1",7,30,41,54,62
"66.2",10,28,42,48,73
"66.3",11,23,39,59,65
"66.4",15,26,36,56,70
"67.1",1,24,41,59,74
"67.2",10,20,33,50,72
"67.3",14,26,32,46,75
"67.4",15,25,34,53,62
"68.1",8,21,38,46,72
"68.2",9,27,43,60,65
"68.3",14,25,35,57,62
"68.4",15,18,34,58,70
"69.1",7,25,37,58,72
"69.2",9,24,43,56,64
"69.3",11,30,38,59,69
"69.4",13,27,35,60,67
"70.1",1,28,40,60,67
"70.2",6,20,33,53,65
"70.3",10,21,41,57,71
"70.4",11,25,42,50,72
"71.1",7,28,36,57,72
"71.2",11,23,42,56,71
"71.3",14,21,40,54,64
"71.4",15,27,38,60,65
"72.1",11,28,36,52,64
"72.2",13,20,42,56,69
"72.3",14,24,40,54,68
"72.4",15,27,34,58,73
"73.1",7,22,34,59,71
